method,seed,trial_id,freezing_ratio,learning_rate,dropout_rate,l2_reg,optimizer,batch_size,val_accuracy,test_accuracy,best_epoch,total_epochs,training_time_seconds,timestamp
genetic_algorithm,1,36,0.8,5e-05,0.3,0.005,adam,8,0.9098712205886841,0.9267241358757019,10,21,58.5,2026-05-28T21:20:16.842104
genetic_algorithm,1,37,0.8,1e-05,0.4,0.1,adam,32,0.6909871101379395,0.6982758641242981,28,39,76.7,2026-05-28T21:21:39.157252
genetic_algorithm,1,38,0.8,0.0005,0.3,0.005,sgd,32,0.8369098901748657,0.818965494632721,33,40,75.2,2026-05-28T21:22:59.950518
genetic_algorithm,1,39,0.9,0.001,0.3,0.005,adam,16,0.9227467775344849,0.9008620977401733,7,18,51.3,2026-05-28T21:23:56.749012
genetic_algorithm,1,40,0.7,0.005,0.3,0.05,adamw,16,0.8927038908004761,0.8706896305084229,6,17,60.7,2026-05-28T21:25:03.087140
genetic_algorithm,1,41,0.8,0.001,0.3,0.005,adam,8,0.9098712205886841,0.9094827771186829,10,21,51.2,2026-05-28T21:25:57.589578
genetic_algorithm,1,42,0.8,0.0005,0.3,0.05,adamw,32,0.9356223344802856,0.943965494632721,20,31,66.6,2026-05-28T21:27:09.961600
genetic_algorithm,1,43,0.8,0.001,0.4,0.005,adam,16,0.9313304424285889,0.9137930870056152,16,27,85.2,2026-05-28T21:29:03.466284
genetic_algorithm,1,44,0.8,0.001,0.6,0.005,adamw,16,0.8927038908004761,0.9008620977401733,1,12,46.1,2026-05-28T21:29:52.708233
genetic_algorithm,1,45,0.8,0.001,0.5,0.005,adam,16,0.9442059993743896,0.931034505367279,24,35,70.1,2026-05-28T21:31:06.172039
genetic_algorithm,1,46,0.8,0.001,0.3,0.02,adam,16,0.9227467775344849,0.931034505367279,12,23,56.7,2026-05-28T21:32:06.333129
genetic_algorithm,1,47,0.8,1e-05,0.3,0.005,adam,16,0.7510729432106018,0.7241379022598267,21,32,67.6,2026-05-28T21:33:17.524618
genetic_algorithm,1,48,0.8,0.0001,0.3,0.005,adam,16,0.9270386099815369,0.943965494632721,16,27,61.3,2026-05-28T21:34:22.795208
genetic_algorithm,1,49,0.8,0.001,0.3,0.005,adamw,16,0.9270386099815369,0.9137930870056152,8,19,54.3,2026-05-28T21:35:20.827842
genetic_algorithm,1,50,0.8,1e-05,0.2,0.02,adam,16,0.7725321650505066,0.8017241358757019,26,37,73.4,2026-05-28T21:36:38.303588
genetic_algorithm,1,51,0.8,0.001,0.3,0.005,sgd,16,0.9012875556945801,0.8965517282485962,19,30,63.4,2026-05-28T21:37:45.650244
